,0
534,298726053
535,29085022
536,271279912
537,238283416
538,196549668
539,309177178
540,272273473
541,298758109
542,34601489
543,307850278
544,296112498
545,237992484
546,231789505
547,306832268
548,231492005
549,310490346
550,285684791
551,312903001
552,292284453
553,67190892
554,291941987
555,33877448
556,309632328
557,126277979
558,310158701
559,311824428
560,263971774
561,269126742
562,187811055
563,266599698
564,54819587
565,267629858
566,222713514
567,305558170
568,283694441
569,8696517
570,181168019
571,229487605
572,294558465
573,295361151
574,316493770
575,316468107
576,33328903
577,254262748
578,316502978
579,314540127
580,299520992
581,269841228
582,314955532
583,316755413
584,308418019
585,3478521
586,255863546
587,239945040
588,2962738
589,246944769
590,33164817
591,305925894
592,266831357
593,312859666
594,304082885
595,310431835
596,317535623
597,318804159
598,311126114
599,316118876
600,317249400
601,317284865
602,319150175
603,319553912
604,318298487
605,76007302
606,319374226
607,294993774
608,285422452
609,94146727
610,304348890
611,3353784
612,302167439
613,290685927
614,255002395
615,293963247
616,268402319
617,301411735
618,310624119
619,300905900
620,134943062
621,19490421
622,235083807
623,289180395
624,292459876
625,301369206
626,267223294
627,125331966
628,23572435
629,303830376
630,193890896
631,238621716
632,311482378
633,185887500
634,209237313
635,270470002
636,307266518
637,304809913
638,302682711
639,64914190
640,309269703
641,293183036
642,305359682
643,290865101
644,852243
645,303738300
646,253171396
647,246170858
648,280599664
649,286423336
650,16821958
651,194674293
652,124800455
653,295668908
654,312481455
655,7247404
656,229570199
657,269126305
658,229788577
659,287581870
660,310032203
661,296779364
662,300652401
663,21552419
664,301150481
665,6028728
666,202658568
667,270545607
668,311098313
669,220189630
670,312168340
671,304579177
672,243627561
673,123489583
674,262449608
675,297635123
676,313535034
677,181506641
678,2693415
679,306192250
680,109655191
681,861424
682,100414391
683,274783864
684,301880543
685,309299470
686,39056575
687,302586485
688,306372723
689,303883683
690,281713125
691,295625142
692,282587315
693,250552271
694,268028821
695,175971560
696,32007760
697,305880248
698,298254215
699,443699
700,313531300
701,292471080
702,39159626
703,202643377
704,310364013
705,188348887
706,261885030
707,133643087
708,233821493
709,314259320
710,125966501
711,53065621
712,75000740
713,315690118
714,316785554
715,235763425
716,258365053
717,162058704
718,123719856
719,243720500
720,312887881
721,509120
722,297957461
723,72065222
724,266513741
725,304172346
726,303471107
727,279206212
728,313185743
729,313255720
730,303523915
731,295022058
732,284083628
733,285544858
734,263150453
735,302632561
736,307079496
737,289819342
738,314246866
739,119657494
740,255785333
741,317907019
742,262755933
743,268996613
744,309059681
745,292099942
746,294616429
747,270762988
748,283915299
749,79482693
